# This File stores the CDE (Cluster Distribution Entropy) using the clustering >>ClosestCenters<< of the given TrajNameList
# >> Nr of Cluster vs Time <<
# >> normalized Nr of Cluster vs Time <<
# >> Entropy vs Time <<
# >> normalized Entropy vs Time <<
# elapsed time = 0.87 seconds
#  ThresholdList = [0.1, 0.15]
#  TrajNameList = ['Met_Amber1_stripped', 'Met_Amber2_stripped']
#  TrjLenList = [1000, 1000]
#  updated TrjLenList = [1000, 1000]
#  TimeStep = 1
#  StartFrame = 0
#  EndingFrame = 1000
#                   |             Threshold = 0.1                |r=0.15
#    Frame | TrajNr | NrClusts | normNrClusts | CDE | normCDE | ... 
# 
0 1   1 0.01 0.0000 0.0000   1 0.04 0.0000 0.0000
1 1   2 0.01 0.6931 1.0000   2 0.09 0.6931 1.0000
2 1   3 0.02 1.0986 1.0000   3 0.13 1.0986 1.0000
3 1   4 0.03 1.3863 1.0000   4 0.17 1.3863 1.0000
4 1   5 0.03 1.6094 1.0000   5 0.22 1.6094 1.0000
5 1   6 0.04 1.7918 1.0000   5 0.22 1.5607 0.9697
6 1   7 0.05 1.9459 1.0000   5 0.22 1.5498 0.9630
7 1   8 0.06 2.0794 1.0000   5 0.22 1.4942 0.9284
8 1   9 0.06 2.1972 1.0000   6 0.26 1.6770 0.9359
9 1   10 0.07 2.3026 1.0000   6 0.26 1.6957 0.9464
10 1   11 0.08 2.3979 1.0000   6 0.26 1.6726 0.9335
11 1   12 0.08 2.4849 1.0000   6 0.26 1.6326 0.9112
12 1   13 0.09 2.5649 1.0000   7 0.30 1.7782 0.9138
13 1   13 0.09 2.5400 0.9903   7 0.30 1.8095 0.9299
14 1   13 0.09 2.5232 0.9837   7 0.30 1.8065 0.9284
15 1   14 0.10 2.5993 0.9849   7 0.30 1.7868 0.9182
16 1   15 0.10 2.6701 0.9860   7 0.30 1.7582 0.9036
17 1   15 0.10 2.6303 0.9713   7 0.30 1.7502 0.8994
18 1   15 0.10 2.6250 0.9693   7 0.30 1.7220 0.8849
19 1   15 0.10 2.5968 0.9589   7 0.30 1.7093 0.8784
20 1   15 0.10 2.5986 0.9596   7 0.30 1.6826 0.8647
21 1   15 0.10 2.6024 0.9610   7 0.30 1.6540 0.8500
22 1   15 0.10 2.6078 0.9630   7 0.30 1.6245 0.8348
23 1   16 0.11 2.6724 0.9638   7 0.30 1.6722 0.8594
24 1   17 0.12 2.7334 0.9648   7 0.30 1.6432 0.8445
25 1   18 0.12 2.7913 0.9657   7 0.30 1.6696 0.8580
26 1   18 0.12 2.7630 0.9559   7 0.30 1.6421 0.8439
27 1   19 0.13 2.8184 0.9572   7 0.30 1.6410 0.8433
28 1   19 0.13 2.8054 0.9528   7 0.30 1.6354 0.8404
29 1   20 0.14 2.8580 0.9540   7 0.30 1.6123 0.8285
30 1   21 0.15 2.9083 0.9553   8 0.35 1.7028 0.8189
31 1   21 0.15 2.8862 0.9480   8 0.35 1.7104 0.8225
32 1   21 0.15 2.8925 0.9501   8 0.35 1.6876 0.8115
33 1   21 0.15 2.8994 0.9523   8 0.35 1.7045 0.8197
34 1   21 0.15 2.8917 0.9498   8 0.35 1.6826 0.8092
35 1   21 0.15 2.8758 0.9446   8 0.35 1.6607 0.7986
36 1   22 0.15 2.9224 0.9454   8 0.35 1.6586 0.7976
37 1   22 0.15 2.9169 0.9437   8 0.35 1.6540 0.7954
38 1   22 0.15 2.9258 0.9465   8 0.35 1.6475 0.7923
39 1   22 0.15 2.9070 0.9405   8 0.35 1.6557 0.7962
40 1   22 0.15 2.8898 0.9349   8 0.35 1.6387 0.7881
