# This File stores the ClusterProfile/Centers using >>ClosestCenters<< of the given TrajNameList
# elapsed time: 145.91 seconds
# Threshold = 0.1
# TrajNameList = ['Met_Amber1_stripped', 'Met_Amber2_stripped']
# TrjLenList = [1000, 1000]
# updated TrjLenList = [1000, 1000]
# TimeStep = 1
# StartFrame = 0
# EndingFrame = 1000
# *******
# GLOBAL PROFILE: Radius = 0.1
# *******
# 
#                |                       Radius = 0.1                            |
#                |  eff Clust     |    next Center   |     farthest Center      |
# Frame | TrajNr | PROF | effRMSD | nextC | nextRMSD | farthestC | farthestRMSD |
#                           
0 1    1 0.1116    327 0.1032    276 0.4040
1 1    2 0.1619    1 0.1129    1179 0.3436
2 1    3 0.1134    136 0.1038    692 0.3079
3 1    1739 0.0000    1739 0.0729    276 0.3881
4 1    683 0.0000    683 0.0674    1179 0.2794
5 1    93 0.0000    93 0.0693    1179 0.3399
6 1    756 0.0000    756 0.0548    1179 0.4008
7 1    97 0.0000    97 0.0867    276 0.3916
8 1    45 0.0000    45 0.0881    526 0.4153
9 1    1735 0.0000    1735 0.0815    276 0.3590
10 1    801 0.0000    801 0.0832    1179 0.4047
11 1    730 0.0000    730 0.0780    276 0.4382
12 1    32 0.0000    32 0.0747    276 0.3481
13 1    32 0.0000    32 0.0777    276 0.3537
14 1    93 0.0000    93 0.0655    1179 0.3192
15 1    701 0.0000    701 0.0840    1179 0.3613
16 1    52 0.0000    52 0.0804    1179 0.3809
17 1    93 0.0000    93 0.0684    1179 0.2980
18 1    45 0.0000    45 0.0821    276 0.3731
19 1    32 0.0000    32 0.0814    276 0.3602
20 1    730 0.0000    730 0.0818    276 0.4054
21 1    756 0.0000    756 0.0831    276 0.4176
22 1    97 0.0000    97 0.0735    1179 0.3646
23 1    403 0.0000    403 0.0804    436 0.3856
24 1    790 0.0000    790 0.0674    1179 0.3687
25 1    692 0.0000    692 0.0735    436 0.4314
26 1    93 0.0000    93 0.0907    1179 0.3502
27 1    1758 0.0000    1758 0.0792    276 0.4075
28 1    730 0.0000    730 0.0756    276 0.4193
29 1    1741 0.0000    1741 0.0692    276 0.3872
30 1    650 0.0000    650 0.0686    1485 0.3032
31 1    32 0.1098    650 0.1025    276 0.3265
32 1    1741 0.0000    1741 0.0797    276 0.3902
33 1    1758 0.0000    1758 0.0765    526 0.4091
34 1    97 0.0000    97 0.0802    276 0.3745
35 1    97 0.0000    97 0.0805    1179 0.3778
36 1    1704 0.0000    1704 0.0825    276 0.3704
37 1    1758 0.0000    1758 0.0720    276 0.4025
38 1    801 0.0000    801 0.0877    276 0.4005
39 1    32 0.0000    32 0.0741    1179 0.3338
40 1    97 0.0000    97 0.0795    276 0.3373
41 1    32 0.0000    32 0.0686    276 0.3599
42 1    97 0.0000    97 0.0627    1179 0.3488
43 1    32 0.0000    32 0.0737    276 0.3494
44 1    45 0.1190    730 0.1001    526 0.3955
45 1    45 0.0000    45 0.0846    276 0.3876
46 1    1735 0.0000    1735 0.0748    526 0.3504
47 1    97 0.0000    97 0.0814    1179 0.3444
48 1    32 0.0000    32 0.0661    276 0.3347
49 1    801 0.0000    801 0.0678    276 0.4025
50 1    692 0.0000    692 0.0753    276 0.4214
51 1    52 0.1116    616 0.1022    1485 0.3519
52 1    97 0.0000    97 0.0735    276 0.3932
53 1    97 0.0000    97 0.0714    276 0.3791
54 1    801 0.0000    801 0.0706    276 0.4102
55 1    97 0.0000    97 0.0723    1179 0.3799
56 1    406 0.0000    406 0.0770    1179 0.3680
57 1    782 0.0000    782 0.0733    1485 0.3530
58 1    1934 0.0000    1934 0.0926    692 0.2832
59 1    93 0.0000    93 0.0696    1179 0.3182
60 1    683 0.0000    683 0.0834    1179 0.2876
61 1    1390 0.0000    1390 0.0723    1179 0.3407
62 1    259 0.0000    259 0.0890    1398 0.3305
63 1    93 0.0000    93 0.0811    1179 0.3085
64 1    1371 0.0000    1371 0.0896    1179 0.2973
65 1    1755 0.0000    1755 0.0836    1179 0.3507
66 1    801 0.0000    801 0.0856    276 0.4457
67 1    790 0.0000    790 0.0765    1179 0.3774
68 1    616 0.0000    616 0.0590    1485 0.3144
69 1    677 0.0000    677 0.0714    1179 0.3527
70 1    85 0.0000    85 0.0712    1179 0.3426
71 1    790 0.0000    790 0.0798    1179 0.3729
72 1    1758 0.0000    1758 0.0913    276 0.4117
73 1    83 0.0000    83 0.0734    1179 0.2722
74 1    1247 0.0000    1247 0.0811    1179 0.3890
75 1    1755 0.0000    1755 0.0692    1179 0.3425
76 1    782 0.0000    782 0.0666    1485 0.3323
77 1    1758 0.0000    1758 0.0680    526 0.3966
78 1    683 0.0000    683 0.0780    692 0.3016
79 1    93 0.0000    93 0.0850    1179 0.3629
80 1    650 0.0000    650 0.0721    276 0.3505
81 1    1934 0.0000    1934 0.0822    692 0.3238
82 1    83 0.1138    1769 0.1010    1179 0.3072
83 1    690 0.0000    690 0.0798    1485 0.3170
84 1    85 0.1121    677 0.1038    1179 0.3128
85 1    406 0.0000    406 0.0819    1179 0.3794
86 1    692 0.0000    692 0.0854    276 0.4437
87 1    794 0.0000    794 0.0867    1179 0.4502
88 1    97 0.0000    97 0.0638    1179 0.3614
89 1    1387 0.0000    1387 0.0808    1179 0.3401
90 1    97 0.0000    97 0.0780    276 0.3932
91 1    1741 0.0000    1741 0.0770    276 0.4034
92 1    93 0.1224    97 0.1021    1179 0.3337
93 1    1739 0.0000    1739 0.0874    1179 0.4046
94 1    1758 0.0000    1758 0.0894    436 0.4367
95 1    616 0.0000    616 0.0828    436 0.3530
96 1    97 0.1108    1741 0.1003    1179 0.3626
97 1    97 0.0000    97 0.0673    1179 0.3768
98 1    97 0.0000    97 0.0991    1179 0.3760
99 1    1390 0.0000    1390 0.0695    1179 0.3405
100 1    616 0.0000    616 0.0743    1179 0.3396
101 1    93 0.0000    93 0.0758    1179 0.2973
102 1    1371 0.0000    1371 0.0320    1485 0.3085
103 1    1371 0.0000    1371 0.0741    1485 0.3268
104 1    327 0.0000    327 0.0757    436 0.4098
105 1    1372 0.0000    1372 0.0665    526 0.3880
106 1    683 0.0000    683 0.0723    692 0.3106
107 1    1210 0.0000    1210 0.0836    1179 0.3876
108 1    1975 0.0000    1975 0.0974    1398 0.3165
109 1    1955 0.0000    1955 0.0658    730 0.2973
110 1    829 0.0000    829 0.0784    692 0.2882
111 1    829 0.0000    829 0.0763    1739 0.3138
112 1    113 0.1312    248 0.1022    692 0.2915
113 1    310 0.0000    310 0.0682    692 0.3318
114 1    122 0.0000    122 0.0690    1485 0.2964
115 1    185 0.0000    185 0.0704    1179 0.2740
116 1    715 0.0000    715 0.0824    1179 0.2947
117 1    782 0.0000    782 0.0685    526 0.3474
118 1    122 0.0000    122 0.0618    1485 0.2915
119 1    1758 0.0000    1758 0.0778    526 0.3798
120 1    616 0.0000    616 0.0906    1179 0.3246
121 1    122 0.1109    684 0.1037    1485 0.3025
122 1    616 0.0000    616 0.0749    1485 0.3186
123 1    1755 0.0000    1755 0.0951    1179 0.3254
124 1    683 0.0000    683 0.0900    692 0.2769
125 1    782 0.0000    782 0.0573    526 0.3147
126 1    185 0.0000    185 0.0672    692 0.2904
127 1    185 0.0000    185 0.0652    692 0.2798
128 1    185 0.0000    185 0.0790    1179 0.2810
129 1    136 0.0000    136 0.0763    1179 0.2953
130 1    122 0.0000    122 0.0714    1179 0.2983
131 1    136 0.0000    136 0.0845    692 0.3375
132 1    122 0.0000    122 0.0524    1485 0.3146
133 1    136 0.0000    136 0.0794    692 0.2987
134 1    136 0.0000    136 0.0799    1398 0.3691
135 1    136 0.1104    662 0.1018    1398 0.3263
136 1    1713 0.0000    1713 0.0758    1398 0.3384
137 1    1713 0.0000    1713 0.0747    1398 0.3370
138 1    728 0.0000    728 0.0830    1179 0.3258
139 1    185 0.0000    185 0.0760    692 0.3224
140 1    860 0.0000    860 0.0762    1398 0.3850
141 1    860 0.0000    860 0.0684    1398 0.3974
142 1    860 0.0000    860 0.0708    1398 0.4056
143 1    860 0.0000    860 0.0726    1398 0.3970
144 1    310 0.0000    310 0.0818    692 0.3410
145 1    860 0.0000    860 0.0591    692 0.3691
146 1    179 0.0000    179 0.0897    692 0.3047
147 1    310 0.0000    310 0.0854    1398 0.3664
148 1    136 0.0000    136 0.0806    1398 0.3468
149 1    3 0.0000    3 0.0787    692 0.3279
150 1    136 0.0000    136 0.0812    1398 0.3217
151 1    185 0.0000    185 0.0663    692 0.2850
152 1    683 0.0000    683 0.0808    1398 0.2908
153 1    701 0.0000    701 0.0829    1179 0.3399
154 1    155 0.1185    1975 0.1024    1485 0.3041
155 1    736 0.0000    736 0.0856    1485 0.2823
156 1    1237 0.0000    1237 0.0914    1485 0.3114
157 1    162 0.0000    162 0.0897    1398 0.2838
158 1    162 0.0000    162 0.0851    1398 0.3597
159 1    736 0.0000    736 0.0860    1485 0.2912
160 1    736 0.0000    736 0.0907    1485 0.2882
161 1    162 0.1081    1843 0.1025    1398 0.3148
162 1    162 0.0000    162 0.0794    1398 0.3705
163 1    597 0.0000    597 0.0575    436 0.3337
164 1    597 0.0000    597 0.0570    436 0.3484
165 1    166 0.1165    1390 0.1004    1179 0.3468
166 1    790 0.0000    790 0.0801    1179 0.3986
167 1    168 0.1289    52 0.1049    436 0.3526
168 1    1755 0.0000    1755 0.0576    1179 0.3326
169 1    1247 0.0000    1247 0.0526    1179 0.3813
170 1    1247 0.0000    1247 0.0698    1179 0.3944
171 1    1387 0.0000    1387 0.0897    1485 0.3247
172 1    1755 0.0000    1755 0.0829    436 0.3393
173 1    637 0.0000    637 0.0443    526 0.3632
174 1    1237 0.0000    1237 0.0754    1485 0.3142
175 1    339 0.0000    339 0.0841    1485 0.3555
176 1    616 0.0000    616 0.0716    1485 0.3390
177 1    178 0.1237    1786 0.1018    436 0.3588
178 1    179 0.1310    367 0.1001    692 0.2722
179 1    637 0.0000    637 0.0582    526 0.3570
180 1    178 0.0000    178 0.0823    436 0.3951
181 1    637 0.0000    637 0.0466    436 0.3485
182 1    339 0.0000    339 0.0910    526 0.3302
183 1    701 0.0000    701 0.0799    1179 0.3236
184 1    185 0.1129    3 0.1046    692 0.2936
185 1    122 0.0000    122 0.0571    1485 0.3048
186 1    185 0.0000    185 0.0771    692 0.2812
187 1    715 0.0000    715 0.0832    1179 0.3166
188 1    166 0.0000    166 0.0890    1179 0.3473
189 1    1390 0.0000    1390 0.0912    436 0.3244
190 1    122 0.0000    122 0.0789    1179 0.3032
191 1    122 0.0000    122 0.0696    1179 0.2868
192 1    122 0.0000    122 0.0781    1179 0.3517
193 1    1735 0.0000    1735 0.0859    1179 0.3656
194 1    1758 0.0000    1758 0.0920    436 0.3889
195 1    1735 0.0000    1735 0.0708    526 0.3553
196 1    122 0.0000    122 0.0746    1485 0.3292
197 1    829 0.0000    829 0.0968    692 0.2944
198 1    816 0.0000    816 0.0817    1485 0.3017
199 1    1735 0.0000    1735 0.0799    1485 0.3343
200 1    681 0.0000    681 0.0926    692 0.3116
201 1    363 0.0000    363 0.0825    1398 0.3005
202 1    179 0.0000    179 0.0678    1485 0.2968
203 1    690 0.0000    690 0.0872    1485 0.3035
204 1    178 0.0000    178 0.0910    276 0.3997
205 1    214 0.0000    214 0.0721    526 0.3685
206 1    1660 0.0000    1660 0.0787    526 0.3356
207 1    209 0.0000    209 0.0609    1485 0.2849
208 1    209 0.1101    1064 0.1003    1398 0.2956
209 1    1237 0.0000    1237 0.0756    1485 0.3061
210 1    211 0.1732    1407 0.1042    1485 0.3013
211 1    1237 0.0000    1237 0.0632    1485 0.3386
212 1    1237 0.0000    1237 0.0493    526 0.3234
213 1    214 0.1130    1138 0.1022    276 0.3416
214 1    155 0.0000    155 0.0835    1485 0.3144
215 1    214 0.0000    214 0.0781    276 0.3143
216 1    1660 0.0000    1660 0.0710    1485 0.3244
217 1    234 0.0000    234 0.0618    1398 0.3574
218 1    1071 0.0000    1071 0.0903    1398 0.4220
219 1    1223 0.0000    1223 0.0754    1398 0.3025
220 1    1237 0.0000    1237 0.0730    526 0.3342
221 1    1660 0.0000    1660 0.0732    1485 0.3303
222 1    1555 0.0000    1555 0.0802    526 0.3391
223 1    1270 0.0000    1270 0.0958    276 0.3267
224 1    225 0.1667    1612 0.1023    1398 0.3572
225 1    225 0.0000    225 0.0818    1398 0.3656
226 1    1612 0.0000    1612 0.0928    1398 0.4211
227 1    1612 0.0000    1612 0.0951    1398 0.4248
228 1    225 0.0000    225 0.0908    1398 0.3878
229 1    225 0.0000    225 0.0850    1398 0.3923
230 1    1071 0.0000    1071 0.0699    1398 0.3870
231 1    1071 0.0000    1071 0.0812    1398 0.3580
232 1    234 0.0000    234 0.0586    1398 0.3077
233 1    234 0.1156    162 0.1049    1398 0.3319
234 1    234 0.0000    234 0.0611    1398 0.3740
235 1    1071 0.0000    1071 0.0820    1398 0.3946
236 1    1071 0.0000    1071 0.0738    1398 0.3971
237 1    234 0.0000    234 0.0582    1398 0.3786
238 1    1071 0.0000    1071 0.0700    1398 0.3902
239 1    234 0.0000    234 0.0668    1398 0.3188
240 1    1151 0.0000    1151 0.0866    1398 0.3651
241 1    1071 0.0000    1071 0.0955    1398 0.3791
242 1    1071 0.0000    1071 0.0811    1398 0.3816
243 1    234 0.0000    234 0.0877    1398 0.3880
244 1    234 0.0000    234 0.0627    1398 0.3521
245 1    248 0.0000    248 0.0782    1485 0.2729
246 1    686 0.0000    686 0.0947    526 0.3650
247 1    248 0.1308    113 0.1022    1485 0.2677
248 1    683 0.0000    683 0.0879    881 0.2782
249 1    248 0.0000    248 0.0525    692 0.2884
250 1    85 0.0000    85 0.0642    1179 0.2889
251 1    166 0.0000    166 0.0785    1179 0.3277
252 1    1735 0.0000    1735 0.0790    1485 0.3292
253 1    1735 0.0000    1735 0.0821    1485 0.3480
254 1    327 0.0000    327 0.0987    276 0.3702
255 1    339 0.0000    339 0.0796    1485 0.3235
256 1    2 0.0000    2 0.0803    1179 0.3657
257 1    259 0.0000    259 0.0421    1398 0.3162
258 1    259 0.1845    1392 0.1046    1398 0.3089
259 1    263 0.0000    263 0.0868    1398 0.3291
260 1    310 0.0000    310 0.0864    692 0.3507
261 1    264 0.0000    264 0.0797    692 0.3047
262 1    263 0.1673    1220 0.1134    1398 0.3987
263 1    264 0.1319    1955 0.1054    1398 0.3186
264 1    264 0.0000    264 0.0480    1398 0.3301
265 1    263 0.0000    263 0.0892    1398 0.3467
266 1    263 0.0000    263 0.0522    1398 0.3956
267 1    264 0.0000    264 0.0672    1398 0.3411
268 1    282 0.0000    282 0.0819    1398 0.4058
269 1    276 0.0000    276 0.0573    1398 0.4077
270 1    276 0.0000    276 0.0493    1398 0.4325
271 1    276 0.0000    276 0.0416    1398 0.4210
272 1    282 0.0000    282 0.0535    1398 0.3939
273 1    276 0.0000    276 0.0615    1398 0.4102
274 1    282 0.0000    282 0.0682    1398 0.4060
275 1    276 0.1431    363 0.1017    1398 0.4412
276 1    276 0.0000    276 0.0697    1398 0.4075
277 1    282 0.0000    282 0.0508    692 0.3842
278 1    276 0.0000    276 0.0526    1398 0.4306
279 1    276 0.0000    276 0.0487    1398 0.4398
280 1    282 0.0000    282 0.0667    1398 0.4013
281 1    282 0.1132    363 0.1000    692 0.3670
282 1    282 0.0000    282 0.0605    692 0.3416
283 1    282 0.0000    282 0.0501    692 0.3813
284 1    282 0.0000    282 0.0578    692 0.3671
285 1    282 0.0000    282 0.0582    692 0.3574
286 1    282 0.0000    282 0.0559    1398 0.3915
287 1    282 0.0000    282 0.0544    692 0.3968
288 1    282 0.0000    282 0.0694    1398 0.4067
289 1    282 0.0000    282 0.0814    692 0.4115
290 1    282 0.0000    282 0.0579    1398 0.3924
291 1    282 0.0000    282 0.0676    1398 0.4092
292 1    282 0.0000    282 0.0638    692 0.3971
293 1    282 0.0000    282 0.0758    692 0.4090
294 1    282 0.0000    282 0.0864    1398 0.4180
295 1    282 0.0000    282 0.0656    1398 0.4009
296 1    276 0.0000    276 0.0268    1398 0.4332
297 1    276 0.0000    276 0.0631    1398 0.4318
298 1    282 0.0000    282 0.0678    1398 0.4038
299 1    276 0.0000    276 0.0421    1398 0.4177
300 1    276 0.0000    276 0.0603    1398 0.4258
301 1    276 0.0000    276 0.0567    1398 0.4094
302 1    276 0.0000    276 0.0690    1398 0.4119
303 1    276 0.0000    276 0.0690    1398 0.4375
304 1    310 0.0000    310 0.0521    1398 0.3474
305 1    310 0.0000    310 0.0440    1398 0.3586
306 1    310 0.0000    310 0.0560    1398 0.3360
307 1    310 0.0000    310 0.0311    1398 0.3394
308 1    310 0.0000    310 0.0257    1398 0.3495
309 1    310 0.1087    860 0.1007    1398 0.3425
310 1    310 0.0000    310 0.0570    1398 0.3831
311 1    310 0.0000    310 0.0478    1398 0.3154
312 1    310 0.0000    310 0.0570    1398 0.3784
313 1    310 0.0000    310 0.0717    692 0.3442
314 1    683 0.0000    683 0.0872    692 0.2932
315 1    97 0.0000    97 0.0817    1179 0.3555
316 1    1739 0.0000    1739 0.0866    1179 0.4285
317 1    616 0.0000    616 0.0754    436 0.3728
318 1    97 0.0000    97 0.0741    1179 0.3739
319 1    701 0.0000    701 0.0859    1179 0.3764
320 1    616 0.0000    616 0.0833    1179 0.3516
321 1    1398 0.0000    1398 0.0739    436 0.4134
322 1    1387 0.0000    1387 0.0772    1179 0.3635
323 1    327 0.0000    327 0.0890    276 0.3886
324 1    339 0.0000    339 0.0618    1485 0.3255
325 1    339 0.0000    339 0.0473    526 0.3585
326 1    327 0.1154    794 0.1029    526 0.4038
327 1    328 0.1174    1210 0.1013    276 0.3873
328 1    214 0.0000    214 0.0766    276 0.3750
329 1    209 0.0000    209 0.0853    526 0.3178
330 1    1660 0.0000    1660 0.0777    526 0.3448
331 1    328 0.0000    328 0.0638    276 0.3732
332 1    214 0.0000    214 0.0706    526 0.3587
333 1    328 0.0000    328 0.0395    276 0.3812
334 1    327 0.0000    327 0.0317    526 0.3885
335 1    339 0.0000    339 0.0839    1485 0.3499
336 1    1704 0.0000    1704 0.0976    276 0.3600
337 1    406 0.0000    406 0.0911    276 0.3906
338 1    339 0.1111    1660 0.1034    526 0.3445
339 1    339 0.0000    339 0.0706    526 0.3615
340 1    339 0.0000    339 0.0822    276 0.3592
341 1    339 0.0000    339 0.0744    526 0.3759
342 1    166 0.0000    166 0.0933    1485 0.3265
343 1    339 0.0000    339 0.0731    1485 0.3527
344 1    406 0.0000    406 0.0769    1485 0.3733
345 1    327 0.0000    327 0.0596    526 0.4007
346 1    406 0.0000    406 0.0852    1485 0.3521
347 1    327 0.0000    327 0.0801    526 0.3748
348 1    406 0.0000    406 0.0680    1485 0.3617
349 1    406 0.0000    406 0.0765    1485 0.3468
350 1    327 0.0000    327 0.0744    276 0.4061
351 1    406 0.0000    406 0.0929    276 0.3805
352 1    690 0.0000    690 0.0738    276 0.3403
353 1    363 0.0000    363 0.0843    1398 0.3235
354 1    365 0.0000    365 0.0550    1485 0.3007
355 1    363 0.0000    363 0.0616    1739 0.3168
356 1    365 0.0000    365 0.0541    1739 0.3227
357 1    363 0.0000    363 0.0513    1398 0.3481
358 1    365 0.0000    365 0.0388    1398 0.3168
359 1    363 0.0000    363 0.0752    692 0.3382
360 1    1975 0.0000    1975 0.0679    1485 0.2947
361 1    367 0.0000    367 0.0496    1485 0.2900
362 1    363 0.1164    282 0.1000    1398 0.3623
363 1    365 0.0000    365 0.0534    1485 0.2852
364 1    365 0.1177    1975 0.1013    1485 0.2953
365 1    179 0.0000    179 0.0724    1485 0.2817
366 1    367 0.1146    179 0.1001    1485 0.3006
367 1    1955 0.0000    1955 0.0788    1485 0.2918
368 1    282 0.0000    282 0.0606    1398 0.3722
369 1    860 0.0000    860 0.0697    692 0.3544
370 1    1955 0.0000    1955 0.0553    730 0.3266
371 1    162 0.0000    162 0.0812    1398 0.3275
372 1    363 0.0000    363 0.0454    692 0.3516
373 1    363 0.0000    363 0.0635    692 0.3332
374 1    1975 0.0000    1975 0.0669    692 0.2861
375 1    1975 0.0000    1975 0.0490    1485 0.3167
376 1    377 0.1190    339 0.1034    1485 0.3286
377 1    377 0.0000    377 0.0769    1485 0.3374
378 1    377 0.0000    377 0.0613    1485 0.3146
379 1    1975 0.0000    1975 0.0479    1485 0.2969
380 1    1975 0.0000    1975 0.0523    1485 0.2845
381 1    1975 0.0000    1975 0.0868    1739 0.2917
382 1    2 0.0000    2 0.0827    1179 0.3278
383 1    282 0.0000    282 0.0706    692 0.3265
384 1    162 0.0000    162 0.0786    1739 0.3110
385 1    363 0.0000    363 0.0822    1398 0.3934
386 1    282 0.0000    282 0.0684    1739 0.3439
387 1    282 0.0000    282 0.0659    692 0.3370
388 1    282 0.0000    282 0.0604    692 0.3923
389 1    1739 0.0000    1739 0.0973    1179 0.3981
390 1    794 0.0000    794 0.0923    1179 0.3888
391 1    637 0.0000    637 0.0898    436 0.3639
392 1    248 0.0000    248 0.0885    692 0.2829
393 1    1955 0.0000    1955 0.0820    1485 0.2745
394 1    860 0.0000    860 0.0753    692 0.3541
395 1    829 0.0000    829 0.0738    1485 0.2892
396 1    1955 0.0000    1955 0.0587    692 0.3040
397 1    1955 0.0000    1955 0.0887    692 0.2906
398 1    1955 0.0000    1955 0.0682    692 0.3131
399 1    282 0.0000    282 0.0707    1398 0.3856
400 1    179 0.0000    179 0.0864    692 0.2748
401 1    1361 0.0000    1361 0.0962    276 0.3728
402 1    403 0.1212    690 0.1003    1179 0.3690
403 1    1741 0.0000    1741 0.0859    276 0.3886
404 1    45 0.0000    45 0.0763    276 0.4006
405 1    406 0.1063    701 0.1004    1485 0.3772
406 1    365 0.0000    365 0.0652    1739 0.3178
407 1    363 0.0000    363 0.0492    1398 0.3412
408 1    363 0.0000    363 0.0416    1398 0.3572
409 1    363 0.0000    363 0.0694    1739 0.3151
410 1    365 0.0000    365 0.0597    1739 0.3218
411 1    365 0.0000    365 0.0478    1485 0.2842
412 1    363 0.0000    363 0.0675    1398 0.3175
413 1    1975 0.0000    1975 0.0681    1485 0.2876
414 1    365 0.0000    365 0.0513    1485 0.2904
415 1    1975 0.0000    1975 0.0618    1485 0.3073
416 1    875 0.0000    875 0.0758    276 0.2766
417 1    869 0.0000    869 0.0832    692 0.3337
418 1    1613 0.0000    1613 0.0596    1398 0.3839
419 1    448 0.0000    448 0.0639    1398 0.3920
420 1    448 0.0000    448 0.0842    1398 0.3964
421 1    1613 0.0000    1613 0.0454    1398 0.3798
422 1    1623 0.0000    1623 0.0726    692 0.4311
423 1    1623 0.0000    1623 0.0708    1398 0.4209
424 1    1623 0.0000    1623 0.0857    692 0.3696
425 1    1761 0.0000    1761 0.0695    692 0.2989
426 1    1293 0.0000    1293 0.0830    692 0.3266
427 1    1293 0.0000    1293 0.0710    1398 0.3146
428 1    430 0.0000    430 0.0566    1179 0.3099
429 1    430 0.1219    531 0.1010    1179 0.3301
430 1    1357 0.0000    1357 0.0942    1179 0.3821
431 1    1211 0.0000    1211 0.0932    1179 0.3464
432 1    1603 0.0000    1603 0.0750    276 0.3573
433 1    875 0.0000    875 0.0871    1641 0.2851
434 1    436 0.0000    436 0.0754    1398 0.4237
435 1    436 0.1141    1179 0.1011    1398 0.4397
436 1    436 0.0000    436 0.0541    1398 0.4305
437 1    436 0.0000    436 0.0339    1398 0.4467
438 1    436 0.0000    436 0.0533    1398 0.4081
439 1    436 0.0000    436 0.0681    1398 0.4250
440 1    436 0.0000    436 0.0676    1398 0.4021
441 1    448 0.0000    448 0.0441    1398 0.4025
442 1    448 0.0000    448 0.0575    1398 0.3774
443 1    448 0.0000    448 0.0297    1398 0.3702
444 1    1293 0.0000    1293 0.0720    1398 0.3457
445 1    1293 0.0000    1293 0.0788    1398 0.3213
446 1    448 0.0000    448 0.0404    1398 0.3604
447 1    448 0.1129    1293 0.1030    1398 0.3821
448 1    448 0.0000    448 0.0347    1398 0.3820
449 1    448 0.0000    448 0.0642    1398 0.3899
450 1    448 0.0000    448 0.0388    1398 0.3896
451 1    448 0.0000    448 0.0499    1398 0.3614
452 1    448 0.0000    448 0.0438    1398 0.3886
453 1    448 0.0000    448 0.0703    1398 0.3982
454 1    1293 0.0000    1293 0.0790    1398 0.3900
455 1    531 0.0000    531 0.0592    1398 0.3312
456 1    1934 0.0000    1934 0.0871    1398 0.3236
457 1    1642 0.0000    1642 0.0830    1398 0.3180
458 1    1509 0.0000    1509 0.0915    1398 0.2648
459 1    1652 0.0000    1652 0.0852    276 0.3186
460 1    546 0.0000    546 0.0651    1398 0.3092
461 1    1293 0.0000    1293 0.0835    692 0.3335
462 1    448 0.0000    448 0.0743    1398 0.3512
463 1    1580 0.0000    1580 0.0601    1398 0.3678
464 1    436 0.0000    436 0.0623    1398 0.4149
465 1    1580 0.0000    1580 0.0558    1398 0.3935
466 1    1580 0.0000    1580 0.0717    1398 0.3614
467 1    1580 0.0000    1580 0.0857    1398 0.3796
468 1    519 0.0000    519 0.0696    1398 0.3830
469 1    1580 0.0000    1580 0.0608    1398 0.3322
470 1    436 0.0000    436 0.0629    1398 0.4463
471 1    448 0.0000    448 0.0783    1398 0.3871
472 1    1580 0.0000    1580 0.0755    1398 0.3744
473 1    436 0.0000    436 0.0734    1398 0.4159
474 1    1580 0.0000    1580 0.0686    1398 0.3596
475 1    448 0.0000    448 0.0693    1398 0.4037
476 1    1580 0.0000    1580 0.0635    1398 0.3661
477 1    1580 0.0000    1580 0.0607    1398 0.3830
478 1    436 0.0000    436 0.0314    1398 0.4253
479 1    436 0.0000    436 0.0380    1398 0.4210
480 1    436 0.0000    436 0.0350    1398 0.4340
481 1    436 0.0000    436 0.0551    1398 0.4201
482 1    436 0.0000    436 0.0501    1398 0.4150
483 1    1580 0.0000    1580 0.0743    1398 0.3662
484 1    436 0.0000    436 0.0405    1398 0.4222
485 1    436 0.0000    436 0.0460    1398 0.4200
486 1    1334 0.0000    1334 0.0920    1398 0.3500
487 1    1471 0.0000    1471 0.0855    1398 0.3158
488 1    1471 0.0000    1471 0.0652    1398 0.3197
489 1    519 0.0000    519 0.0475    1398 0.4144
490 1    934 0.0000    934 0.0770    1398 0.3002
491 1    934 0.0000    934 0.0748    1398 0.3126
492 1    934 0.0000    934 0.0608    692 0.3391
493 1    934 0.0000    934 0.0770    692 0.3248
494 1    934 0.0000    934 0.0713    692 0.3512
495 1    519 0.0000    519 0.0705    1398 0.3659
496 1    934 0.0000    934 0.0800    1398 0.3591
497 1    934 0.0000    934 0.0450    692 0.3203
498 1    934 0.0000    934 0.0544    692 0.3163
499 1    869 0.0000    869 0.0824    692 0.3219
